FarmID,State,District,Crop,Season,SoilType,IrrigationType,SoilNitrogen_kg_ha,SoilPhosphorus_kg_ha,SoilPotassium_kg_ha,SoilPH,OrganicCarbon_pct,Sulphur_ppm,Zinc_ppm,ElectricalConductivity_dS_m,Temperature_C,Humidity_pct,Rainfall_mm,FarmSize_acres,PreviousYield_kg_acre,YearsOfCultivation,NitrogenRecommendation_kg_acre,PhosphorusRecommendation_kg_acre,PotassiumRecommendation_kg_acre,ExpectedYieldImprovement_pct,EstimatedFertilizerCost_INR_acre,EstimatedFertilizerCost_INR_total
AP00011,Punjab,PUN-22,Wheat,Rabi,Loamy,Sprinkler,443,13,219,6.53,0.22,2.0,1.77,0.53,19.9,43.3,537,4.02,1583,5,17.9,13.7,7.1,7.5,1225,4924
AP00012,Punjab,PUN-02,Wheat,Rabi,Loamy,Sprinkler,279,3,79,7.32,0.64,13.0,0.89,1.36,14.5,,533,2.35,1666,6,35.2,27.1,19.5,22.0,2365,5557
AP00013,Punjab,PUN-03,Wheat,Rabi,Sandy,Flood,559,18,240,6.62,0.33,24.9,0.59,1.02,26.6,42.4,552,7.18,2218,11,13.7,9.1,4.7,16.6,996,7151
AP00014,Punjab,PUN-06,Wheat,Rabi,Silt,Rainfed,560,22,343,6.66,0.23,23.1,0.22,0.1,27.8,43.0,497,0.74,1447,6,27.3,9.4,6.7,10.3,1226,907
AP00015,Punjab,PUN-19,Wheat,Rabi,Loamy,Flood,141,11,97,6.8,1.02,12.0,1.71,0.18,17.0,59.0,441,0.76,1319,3,37.9,18.5,15.4,23.6,2022,1536
AP00016,Punjab,PUN-11,Wheat,Rabi,Sandy,Sprinkler,218,5,109,6.66,0.33,7.4,1.64,0.1,28.0,25.6,557,3.43,1465,4,51.2,33.7,19.1,22.1,2816,9658
AP00017,Punjab,PUN-01,Wheat,Rabi,Loamy,Flood,559,15,228,6.67,1.0,2.0,1.02,0.1,18.1,53.3,400,3.73,1514,1,11.8,14.1,7.7,16.5,1345,5016
AP00018,Punjab,PUN-19,Wheat,Rabi,Silt,Flood,319,22,249,6.66,0.68,19.2,1.79,1.01,12.1,38.2,568,2.82,1280,4,20.3,10.6,6.7,11.9,1167,3290
AP00019,Punjab,PUN-01,Wheat,Rabi,Silt,Flood,560,22,280,6.73,1.02,3.6,0.38,0.1,17.7,55.8,409,4.18,1748,2,12.6,8.9,4.0,14.9,888,3711
AP00020,Punjab,PUN-09,Wheat,Rabi,Loamy,Drip,498,11,150,6.49,1.25,7.4,1.27,1.09,24.2,49.2,418,5.1,1508,2,17.5,20.8,10.1,21.4,1713,8736
AP00021,Punjab,PUN-21,Wheat,Rabi,Loamy,Rainfed,790,26,421,7.8,0.81,7.5,1.11,0.1,18.5,47.0,461,1.38,2612,10,15.0,7.6,5.6,3.0,991,1367
AP00022,Punjab,PUN-18,Wheat,Rabi,Silt,Rainfed,732,27,337,6.34,0.7,2.0,1.39,0.1,11.7,31.7,566,3.52,2458,8,8.9,7.9,4.9,5.3,993,3495
AP00023,Punjab,PUN-10,Wheat,Rabi,Loamy,Rainfed,192,9,78,7.02,0.56,19.8,1.54,0.22,22.4,46.0,492,1.66,1454,20,57.1,30.9,20.8,26.9,2967,4925
AP00024,Punjab,PUN-10,Wheat,Rabi,Loamy,Sprinkler,463,15,215,7.61,0.77,6.3,0.26,0.33,14.8,53.0,569,2.25,1929,9,13.1,13.5,9.7,16.1,1405,3161
AP00025,Punjab,PUN-23,Wheat,Rabi,Silt,Rainfed,221,2,53,6.81,0.24,8.5,1.1,,13.7,42.6,526,2.23,2195,15,66.6,30.7,18.5,25.7,2862,6382
AP00026,Punjab,PUN-11,Wheat,Rabi,Sandy,Flood,335,19,214,5.5,0.22,4.4,1.0,,23.9,42.6,553,1.02,1583,16,46.2,14.9,6.9,23.9,1509,1539
AP00027,Punjab,PUN-04,Wheat,Rabi,Silt,Flood,386,13,217,7.02,0.4,18.7,0.63,1.91,12.6,54.0,507,0.66,1374,25,31.1,21.1,9.3,24.9,1655,1092
AP00028,Punjab,PUN-03,Wheat,Rabi,Loamy,Flood,424,16,180,6.21,0.51,29.7,1.81,1.25,19.3,49.7,500,1.69,1868,7,19.0,16.2,9.5,8.4,1525,2577
AP00029,Punjab,PUN-21,Wheat,Rabi,Silt,Sprinkler,445,22,176,7.8,0.89,16.5,0.4,1.51,15.7,42.0,649,2.16,1716,6,12.0,6.6,9.2,3.5,1135,2451
AP00030,Punjab,PUN-14,Wheat,Rabi,Sandy,Sprinkler,560,38,334,7.5,0.1,16.6,1.47,0.1,14.9,49.0,539,1.12,1739,2,14.3,8.9,5.2,10.9,959,1074
AP00031,Punjab,PUN-18,Wheat,Rabi,Silt,Drip,187,4,37,6.08,0.93,24.2,0.55,0.6,23.4,,492,1.75,1380,1,38.8,20.4,14.9,12.4,1941,3396
AP00032,Punjab,PUN-18,Wheat,Rabi,Sandy,Rainfed,385,17,224,6.8,0.42,8.1,1.3,,19.0,49.5,558,3.73,1416,1,29.3,14.4,10.2,18.6,1580,5893
AP00033,Punjab,PUN-14,Wheat,Rabi,Loamy,Rainfed,493,20,276,7.24,0.3,12.0,0.59,0.1,19.6,45.0,617,0.6,1230,3,23.6,10.1,7.1,14.5,1189,713
AP00034,Punjab,PUN-04,Wheat,Rabi,Sandy,Sprinkler,352,11,179,6.4,0.19,23.3,1.28,0.1,17.9,50.5,485,2.5,1874,2,21.6,13.9,7.2,15.8,1289,3222
AP00035,Punjab,PUN-03,Wheat,Rabi,Silt,Flood,66,4,56,7.18,0.45,5.4,0.42,1.2,10.3,26.3,401,22.34,1998,1,50.1,24.5,20.5,21.1,2546,56877
AP00036,Punjab,PUN-01,Wheat,Rabi,Loamy,Flood,534,17,153,6.77,0.81,7.2,1.28,0.1,25.9,41.9,585,14.83,2081,7,12.5,16.7,12.3,13.1,1649,24454
AP00037,Punjab,PUN-04,Wheat,Rabi,Loamy,Flood,182,8,62,7.64,1.11,2.0,1.21,1.69,23.4,38.0,546,2.19,1642,2,58.8,28.1,20.1,28.7,2710,5934
AP00038,Punjab,PUN-07,Wheat,Rabi,Clay,Sprinkler,50,8,82,6.6,0.74,12.3,0.3,0.46,18.7,41.6,486,1.33,1694,23,56.6,27.6,15.5,29.4,2425,3225
AP00039,Punjab,PUN-22,Wheat,Rabi,Silt,Flood,369,17,247,6.4,0.79,25.6,0.95,0.73,15.8,44.9,653,7.16,1702,3,24.9,9.7,5.9,11.3,1153,8255
AP00040,Punjab,PUN-23,Wheat,Rabi,Silt,Flood,559,16,169,6.99,0.39,4.1,0.68,1.12,19.4,37.9,579,1.49,1562,5,17.8,19.2,12.8,19.2,1765,2629
AP00041,Punjab,PUN-08,Wheat,Rabi,Silt,Sprinkler,387,15,185,7.27,0.61,12.0,0.5,0.1,19.2,56.2,472,1.59,2507,3,23.3,12.0,10.1,9.1,1424,2264
AP00042,Punjab,PUN-02,Wheat,Rabi,Sandy,Rainfed,706,22,383,7.37,0.29,13.3,0.6,0.1,21.6,41.3,470,0.89,1054,1,11.7,8.2,4.0,13.5,916,815
AP00043,Punjab,PUN-19,Wheat,Rabi,Silt,Flood,335,16,244,6.45,0.62,16.2,0.2,1.17,21.5,36.2,487,3.86,1345,2,23.8,11.9,6.5,22.2,1276,4925
AP00044,Punjab,PUN-14,Wheat,Rabi,Silt,Sprinkler,361,16,173,6.4,0.67,9.4,0.26,0.1,17.7,47.5,491,13.67,2121,3,27.6,10.2,8.9,11.1,1401,19151
AP00045,Punjab,PUN-04,Wheat,Rabi,Clay,Flood,900,22,410,6.63,0.59,26.1,0.59,1.06,21.5,48.8,628,0.6,1443,7,10.7,9.5,5.3,7.9,951,570
AP00046,Punjab,PUN-06,Wheat,Rabi,Silt,Flood,651,22,393,6.86,0.56,12.0,0.99,1.49,8.8,47.0,632,9.71,2260,14,14.2,9.1,5.4,3.0,1018,9884
AP00047,Punjab,PUN-01,Wheat,Winter,Clay,Flood,198,5,104,6.57,0.81,17.0,0.48,1.09,14.8,58.3,563,1.39,2130,9,37.8,27.1,14.4,27.8,2307,3206
AP00048,Punjab,PUN-10,Wheat,Rabi,Sandy,Flood,156,8,62,6.97,0.62,10.0,0.55,0.1,19.8,49.9,447,0.43,2167,8,46.7,31.0,20.1,23.7,2794,1201
AP00049,Punjab,PUN-19,Wheat,Rabi,Sandy,Rainfed,559,12,173,5.5,0.46,23.9,0.59,0.1,11.6,50.6,655,1.74,1638,6,12.3,15.3,8.3,4.2,1427,2482
AP00050,Punjab,PUN-19,Wheat,Rabi,Silt,Flood,410,18,187,7.75,0.55,7.6,0.31,0.78,16.9,25.0,429,1.12,2139,3,17.5,10.7,8.4,8.0,1206,1350
AP00051,Punjab,PUN-06,Wheat,Rabi,Silt,Flood,175,11,57,7.07,0.8,3.4,1.71,,20.7,41.2,554,1.85,2073,7,54.2,23.5,19.8,22.7,2370,4384
AP00052,Punjab,PUN-20,Wheat,Rabi,Clay,Flood,78,5,109,6.76,0.37,24.4,1.44,1.31,12.0,54.2,504,2.49,2395,5,59.8,31.1,11.9,19.0,2291,5704
AP00053,Punjab,PUN-02,Wheat,Rabi,Silt,Flood,260,7,105,7.04,0.92,20.2,0.46,0.73,17.2,27.3,432,1.66,1835,1,45.3,29.1,20.4,36.4,2662,4418
AP00054,Punjab,PUN-04,Wheat,Rabi,Loamy,Flood,560,32,280,6.92,1.15,4.2,0.57,1.98,15.8,,678,0.32,1279,2,13.8,8.4,4.8,6.6,996,318
AP00055,Punjab,PUN-01,Wheat,Rabi,Loamy,Drip,653,28,357,7.06,0.86,27.0,1.1,0.86,8.0,64.6,505,2.49,1556,3,9.7,5.8,4.2,6.8,856,2131
AP00056,Punjab,PUN-08,Wheat,Rabi,Silt,Flood,346,16,149,6.75,0.29,7.6,1.53,1.36,17.2,37.9,473,1.83,1493,4,23.5,11.5,9.7,16.0,1419,2596
AP00057,Punjab,PUN-24,Wheat,Rabi,Silt,Sprinkler,319,14,255,7.18,0.83,4.4,0.37,0.92,22.7,46.9,574,0.75,2032,4,32.5,12.9,5.7,12.5,1262,946
AP00058,Punjab,PUN-22,Wheat,Rabi,Loamy,Flood,203,5,109,6.59,0.16,19.8,0.44,0.3,19.1,31.7,470,1.68,2388,14,47.1,24.6,13.5,13.3,2118,3558
AP00059,Punjab,PUN-03,Wheat,Rabi,Loamy,Rainfed,320,18,110,6.76,0.75,7.1,1.47,1.13,14.4,49.4,521,1.26,1760,1,30.1,13.0,16.7,17.3,1868,2353
AP00060,Punjab,PUN-21,Wheat,Rabi,Clay,Sprinkler,412,16,193,6.2,1.03,28.1,1.53,0.1,12.3,35.6,574,1.55,1873,4,25.7,12.1,7.1,11.8,1276,1977
AP00061,Punjab,PUN-17,Wheat,Winter,Silt,Rainfed,295,16,236,7.05,0.76,7.0,0.43,0.1,17.5,30.0,517,1.3,1276,10,28.2,10.3,8.6,20.6,1307,1699
AP00062,Punjab,PUN-13,Wheat,Rabi,Silt,Drip,217,6,91,6.27,0.53,13.5,1.12,,28.0,42.5,474,1.21,1255,4,38.9,29.1,15.8,29.3,2351,2844
AP00063,Punjab,PUN-13,Wheat,Winter,Loamy,Rainfed,457,17,262,6.0,0.53,18.7,0.64,0.31,21.5,38.0,532,0.75,2134,9,17.5,11.6,5.7,13.1,1092,819
AP00064,Punjab,PUN-04,Wheat,Rabi,Loamy,Drip,341,13,139,6.43,0.99,24.9,0.24,0.1,15.7,49.6,607,1.11,1196,1,27.0,16.0,11.3,14.3,1625,1803
AP00065,Punjab,PUN-22,Wheat,Winter,Silt,Flood,193,6,99,6.72,0.6,24.4,0.57,0.1,18.5,30.0,528,1.24,1947,1,45.9,27.6,14.5,23.5,2345,2907
AP00066,Punjab,PUN-06,Wheat,Rabi,Sandy,Flood,643,29,280,6.75,0.15,12.0,0.31,1.72,14.5,54.3,453,1.22,2320,6,13.5,6.9,4.8,3.0,878,1071
AP00067,Punjab,PUN-13,Wheat,Rabi,Clay,Sprinkler,93,8,109,7.37,1.07,15.1,1.42,0.43,14.4,36.1,514,1.46,2372,1,43.4,24.2,14.4,11.6,2175,3175
AP00068,Punjab,PUN-10,Wheat,Rabi,Loamy,Sprinkler,792,26,374,6.29,0.73,6.5,1.13,1.0,26.4,,624,1.7,2375,2,13.4,8.0,6.9,4.1,1105,1878
AP00069,Punjab,PUN-15,Wheat,Rabi,Silt,Sprinkler,50,6,109,7.2,0.57,5.7,1.88,1.13,20.2,33.5,526,3.76,1851,2,30.8,23.8,13.9,18.7,2184,8211
AP00070,Punjab,PUN-18,Wheat,Rabi,Loamy,Flood,280,18,232,6.57,0.6,26.0,0.63,0.1,16.9,36.5,435,0.8,1855,2,34.5,9.8,6.6,11.1,1229,983
AP00071,Punjab,PUN-17,Wheat,Rabi,Silt,Flood,279,5,49,6.65,0.55,10.6,0.81,0.78,19.1,48.8,567,4.4,1562,3,46.0,29.8,18.7,27.4,2766,12170
AP00072,Punjab,PUN-03,Wheat,Rabi,Sandy,Sprinkler,428,18,232,6.99,0.5,6.7,0.44,0.1,16.2,57.2,517,1.15,1775,15,18.1,12.3,7.4,3.0,1232,1416
AP00073,Punjab,PUN-08,Wheat,Rabi,Silt,Flood,377,18,134,6.8,0.69,21.6,0.59,1.07,25.3,52.5,557,2.46,2006,1,23.4,13.4,15.3,22.0,1774,4364
AP00074,Punjab,PUN-15,Wheat,Rabi,Loamy,Sprinkler,430,21,138,6.92,0.29,12.0,0.59,1.95,13.9,52.3,511,15.55,2340,13,28.4,10.4,12.7,8.2,1587,24677
AP00075,Punjab,PUN-10,Wheat,Rabi,Loamy,Drip,753,26,379,6.45,0.76,9.3,1.51,0.44,15.5,44.6,511,8.35,1161,2,10.7,7.7,4.6,13.0,941,7857
AP00076,Punjab,PUN-15,Wheat,Rabi,Silt,Sprinkler,521,20,110,6.22,0.82,6.9,1.53,0.5,22.7,41.5,532,2.03,2098,14,18.3,9.3,14.3,10.3,1484,3012
AP00077,Punjab,PUN-10,Wheat,Rabi,Sandy,Rainfed,375,17,176,7.5,0.68,4.6,1.13,0.1,21.1,43.3,532,0.74,2190,5,23.6,17.3,10.4,9.1,1555,1150
AP00078,Punjab,PUN-15,Wheat,Rabi,Silt,Sprinkler,213,4,64,7.45,0.24,14.0,0.43,0.67,22.3,60.0,610,1.29,1806,25,55.2,28.5,20.6,21.2,2824,3642
AP00079,Punjab,PUN-17,Wheat,Rabi,Sandy,Rainfed,288,11,119,6.25,0.49,12.0,0.26,0.21,19.7,64.0,617,1.37,1381,15,28.8,21.1,10.8,14.4,1767,2420
AP00080,Punjab,PUN-19,Wheat,Rabi,Silt,Flood,279,11,109,7.16,0.78,12.0,0.28,0.27,14.8,35.7,562,1.53,1919,25,34.8,24.8,20.2,29.3,2468,3776
AP00081,Punjab,PUN-02,Wheat,Rabi,Clay,Sprinkler,359,15,198,6.98,0.69,7.7,0.27,0.25,12.3,59.3,483,1.43,1572,4,23.7,12.2,6.6,15.6,1237,1768
AP00082,Punjab,PUN-03,Wheat,Rabi,Silt,Sprinkler,279,6,23,7.19,0.96,6.1,0.53,0.23,18.1,47.3,515,10.98,2116,3,44.7,29.7,15.2,18.7,2399,26341
AP00083,Punjab,PUN-05,Wheat,Rabi,Sandy,Sprinkler,114,6,63,6.0,0.1,22.1,0.91,0.46,8.7,31.3,639,15.68,1897,3,61.8,28.9,20.6,21.9,2777,43543
AP00084,Punjab,PUN-03,Wheat,Rabi,Silt,Drip,280,18,182,7.13,0.61,6.6,0.6,0.36,20.4,29.5,545,3.57,2015,1,26.3,8.2,6.9,7.7,1141,4073
AP00085,Punjab,PUN-09,Wheat,Rabi,Sandy,Flood,204,10,109,6.82,0.34,15.7,0.82,1.42,24.7,,530,3.36,1608,3,41.5,17.3,15.9,20.8,2039,6851
AP00086,Punjab,PUN-09,Wheat,Rabi,Sandy,Flood,150,6,70,6.45,0.27,11.0,1.33,0.58,10.2,40.9,549,0.49,1743,4,52.7,27.3,15.2,19.3,2409,1180
AP00087,Punjab,PUN-15,Wheat,Rabi,Sandy,Drip,111,8,28,5.8,0.34,11.5,0.96,0.38,14.2,33.7,540,12.22,2037,1,32.7,21.6,13.2,17.2,2004,24488
AP00088,Punjab,PUN-07,Wheat,Rabi,Clay,Flood,435,17,153,6.64,0.74,4.3,0.6,0.58,21.4,25.0,599,1.1,1969,5,20.5,13.0,12.3,7.2,1622,1784
AP00089,Punjab,PUN-04,Wheat,Rabi,Silt,Rainfed,187,8,109,7.02,0.1,5.6,0.68,1.86,18.6,41.3,609,0.83,2435,10,45.9,20.7,11.3,9.1,1989,1650
AP00090,Punjab,PUN-12,Wheat,Rabi,Loamy,Rainfed,234,11,109,7.26,0.35,12.0,1.56,0.1,24.9,52.0,584,3.47,1974,7,48.2,22.7,15.2,21.4,2230,7738
AP00091,Punjab,PUN-08,Wheat,Rabi,Loamy,Flood,199,9,93,7.24,0.63,12.0,1.45,0.32,16.1,45.9,507,1.63,1927,3,40.2,22.8,17.6,20.9,2375,3871
AP00092,Punjab,PUN-07,Wheat,Rabi,Loamy,Flood,486,16,160,7.31,0.58,12.0,0.8,0.56,19.1,34.7,582,14.62,2161,1,11.5,11.0,8.2,3.4,1159,16944
AP00093,Punjab,PUN-19,Wheat,Winter,Silt,Flood,225,11,35,6.42,0.78,13.4,1.27,0.38,21.8,75.7,533,1.42,2088,1,45.5,26.3,18.9,17.2,2613,3710
AP00094,Punjab,PUN-14,Wheat,Rabi,Silt,Sprinkler,527,14,172,6.72,0.56,15.4,0.34,0.94,17.0,45.8,460,1.4,2112,4,17.4,16.2,11.0,16.1,1589,2224
AP00095,Punjab,PUN-19,Wheat,Rabi,Silt,Rainfed,435,17,181,7.12,0.19,21.1,1.44,0.1,16.0,,611,2.06,2169,1,29.3,17.8,11.8,19.3,1791,3689
AP00096,Punjab,PUN-12,Wheat,Rabi,Silt,Flood,280,16,158,7.02,0.45,6.4,0.32,0.72,8.0,65.5,508,3.96,1922,1,40.9,16.6,12.2,13.5,1803,7139
AP00097,Punjab,PUN-01,Wheat,Winter,Sandy,Drip,371,15,162,5.92,0.45,10.4,0.29,,25.2,55.6,549,1.5,1840,7,17.3,16.8,8.2,10.5,1501,2251
AP00098,Punjab,PUN-21,Wheat,Rabi,Clay,Flood,537,11,205,7.24,0.56,8.3,1.45,0.1,20.0,36.7,485,1.94,1404,11,10.0,24.0,8.4,13.6,1605,3113
AP00099,Punjab,PUN-07,Wheat,Rabi,Silt,Sprinkler,282,11,184,7.22,0.72,4.3,1.17,0.1,24.0,,522,2.49,1937,1,38.9,21.2,9.0,19.2,1709,4255
AP00100,Punjab,PUN-14,Wheat,Rabi,Sandy,Drip,280,20,166,6.97,0.15,4.3,1.69,1.26,18.3,,469,0.3,2106,6,33.6,6.5,10.4,11.5,1362,408
AP00101,Punjab,PUN-23,Wheat,Rabi,Clay,Flood,439,14,247,6.81,0.7,3.3,0.59,1.29,18.2,49.8,552,1.36,1641,1,22.0,21.3,8.4,12.8,1578,2146
AP00102,Punjab,PUN-17,Wheat,Rabi,Silt,Sprinkler,667,30,412,7.29,0.86,5.7,1.62,1.19,17.7,,507,1.93,2536,1,12.7,7.6,5.4,7.5,1005,1939
AP00103,Punjab,PUN-07,Wheat,Rabi,Loamy,Sprinkler,622,32,280,7.28,0.8,7.2,1.37,0.45,18.7,46.9,419,1.28,1796,2,10.3,6.0,5.0,9.3,895,1145
AP00104,Punjab,PUN-20,Wheat,Rabi,Silt,Rainfed,95,6,87,7.24,0.71,18.3,0.41,0.1,25.1,30.3,513,14.39,1678,3,63.1,32.7,23.1,28.9,3087,44421
AP00105,Punjab,PUN-12,Wheat,Rabi,Loamy,Sprinkler,413,13,110,6.93,0.99,27.6,0.71,1.18,12.0,47.3,546,0.6,1815,13,16.3,18.4,19.6,15.1,2110,1266
AP00106,Punjab,PUN-15,Wheat,Rabi,Sandy,Sprinkler,104,3,65,6.43,0.31,12.9,0.34,0.66,24.6,39.3,449,2.35,2035,1,47.2,28.9,16.6,17.4,2390,5616
AP00107,Punjab,PUN-04,Wheat,Rabi,Silt,Sprinkler,443,14,207,7.55,0.42,3.7,0.57,0.1,21.0,39.6,504,1.11,1847,8,21.0,19.8,9.4,12.3,1626,1804
AP00108,Punjab,PUN-09,Wheat,Winter,Sandy,Sprinkler,88,7,83,6.61,0.1,14.7,0.1,0.4,23.6,59.8,472,1.14,1125,14,65.2,30.2,18.5,39.7,2714,3093
AP00109,Punjab,PUN-21,Wheat,Rabi,Loamy,Sprinkler,380,21,119,6.49,0.91,33.6,1.54,0.58,28.0,31.2,449,0.89,2009,4,18.7,6.4,12.2,3.0,1338,1190
AP00110,Punjab,PUN-11,Wheat,Rabi,Sandy,Rainfed,199,11,46,6.81,0.52,12.0,1.49,0.45,18.2,52.7,497,2.02,1582,1,57.9,27.7,22.2,23.5,2852,5761
AP00111,Punjab,PUN-08,Wheat,Rabi,Sandy,Rainfed,560,32,377,6.35,0.56,9.3,1.46,,15.8,,489,3.61,2299,2,17.0,9.1,6.2,4.7,1101,3974
AP00112,Punjab,PUN-11,Wheat,Rabi,Loamy,Flood,149,7,109,6.09,0.35,9.4,0.28,0.64,19.4,55.2,571,4.4,1312,4,51.2,30.7,11.3,20.7,2237,9842
AP00113,Punjab,PUN-24,Wheat,Rabi,Silt,Rainfed,161,6,85,6.21,0.67,14.5,0.63,1.73,16.6,54.1,432,2.04,1381,8,50.3,30.7,21.0,21.8,2766,5642
AP00114,Punjab,PUN-17,Wheat,Rabi,Clay,Flood,664,24,280,7.28,0.9,21.2,0.29,0.16,14.3,38.6,459,0.86,1200,4,12.1,8.6,5.5,7.9,972,835
AP00115,Punjab,PUN-05,Wheat,Rabi,Loamy,Sprinkler,480,14,260,6.68,0.64,18.3,0.41,0.47,19.7,47.6,549,2.41,1995,15,18.6,12.8,7.1,9.0,1294,3118
AP00116,Punjab,PUN-01,Wheat,Rabi,Silt,Rainfed,279,7,104,6.68,0.64,6.4,0.16,0.3,19.0,63.7,526,3.76,1993,7,34.0,31.5,21.5,31.3,2814,10580
AP00117,Punjab,PUN-07,Wheat,Rabi,Silt,Rainfed,617,27,280,7.06,0.67,24.1,2.02,0.1,8.0,39.4,509,10.33,2543,1,16.4,9.7,6.7,6.2,1144,11817
AP00118,Punjab,PUN-18,Wheat,Rabi,Loamy,Rainfed,420,11,192,7.77,0.91,5.2,0.27,0.1,25.3,44.2,584,1.9,1642,13,24.2,25.8,9.2,13.1,1834,3484
AP00119,Punjab,PUN-15,Wheat,Rabi,Loamy,Sprinkler,559,19,207,7.16,0.62,5.4,0.29,0.29,16.8,,483,2.06,1880,8,19.5,9.7,9.5,9.7,1313,2704
AP00120,Punjab,PUN-03,Wheat,Rabi,Sandy,Sprinkler,801,22,280,6.58,0.2,4.6,0.25,0.92,19.5,44.3,482,1.4,2128,1,18.7,11.0,6.5,4.5,1215,1701
AP00121,Punjab,PUN-01,Wheat,Rabi,Clay,Rainfed,326,11,143,7.91,0.34,7.4,0.6,0.61,11.6,40.6,516,1.5,2004,13,34.4,15.7,13.1,12.5,1773,2659
AP00122,Punjab,PUN-03,Wheat,Rabi,Silt,Flood,432,11,203,6.51,0.55,8.3,0.41,1.43,19.5,37.2,545,1.88,2271,7,23.4,27.7,9.3,12.1,1919,3607
AP00123,Punjab,PUN-03,Wheat,Rabi,Silt,Drip,96,9,84,7.8,0.73,9.3,1.6,0.4,17.4,57.0,540,1.12,2412,25,52.4,32.9,21.4,21.1,2806,3142
AP00124,Punjab,PUN-19,Wheat,Rabi,Clay,Sprinkler,356,18,238,6.86,0.7,23.0,0.48,,16.9,56.8,467,1.31,1888,4,19.9,9.7,6.4,14.3,1077,1410
AP00125,Punjab,PUN-17,Wheat,Rabi,Sandy,Drip,478,19,149,6.08,0.38,3.1,0.61,1.15,14.5,55.7,553,5.1,2096,8,15.6,11.7,10.3,8.2,1384,7058
AP00126,Punjab,PUN-02,Wheat,Rabi,Clay,Sprinkler,280,15,175,7.14,0.51,23.3,1.25,0.1,22.2,26.6,461,3.49,1863,3,32.2,10.9,7.1,7.0,1244,4341
AP00127,Punjab,PUN-06,Wheat,Rabi,Sandy,Rainfed,142,7,77,7.41,0.1,2.0,0.9,0.58,17.4,44.0,516,4.09,1938,25,50.3,22.0,17.0,17.4,2328,9521
AP00128,Punjab,PUN-17,Wheat,Rabi,Silt,Drip,359,15,192,7.76,0.82,5.0,0.37,0.1,27.3,46.3,595,1.53,2183,1,20.6,15.2,7.9,13.4,1398,2138
AP00129,Punjab,PUN-17,Wheat,Rabi,Silt,Sprinkler,346,16,110,7.62,0.55,3.5,2.34,0.49,17.5,61.7,495,0.96,1985,6,38.5,14.5,14.4,9.5,1885,1809
AP00130,Punjab,PUN-22,Wheat,Rabi,Clay,Flood,455,14,137,6.2,0.79,23.5,0.2,0.7,17.8,38.5,502,4.55,1494,6,19.8,11.2,11.0,13.4,1378,6269
AP00131,Punjab,PUN-14,Wheat,Rabi,Sandy,Flood,151,4,44,6.32,0.45,8.5,0.59,0.1,22.8,51.7,554,0.53,1803,1,69.9,35.2,20.9,27.8,2947,1561
